Developer,Trending Games Count
Capcom,121
TelltaleGames,97
UbisoftMontreal,67
TravellersTales,65
Ubisoft,54
TTGames,43
Yukes,41
DONTNODEntertainment,38
IoInteractive,34
Konami,23
VolitionInc,23
Nintendo,21
Beenox,21
CrystalDynamics,20
AvalancheStudios,20
DoubleHelixGames,19
ArtificialMindandMovement,19
RockstarNorth,18
EADICE,17
UbisoftShanghai,16
ArkaneStudios,16
RyugaGotokuStudios,16
Acquire,16
Treyarch,16
Rebellion,16
KromeStudios,16
MonolithProductions,15
PandemicStudios,15
EidosMontreal,14
TeamNinja,13
RadicalEntertainment,13
NinjaTheory,12
UbisoftMontpellier,12
Techland,12
MercurySteam,12
RemedyEntertainment,12
VicariousVisions,12
KojimaProductions,11
SCEJapanStudio,11
InsomniacGames,11
UbisoftQuebec,11
DoubleFineProductions,11
ElectronicArts,11
ShinyEntertainment,11
AmazeEntertainment,11
KCEJ,10
FromSoftware,10
PlatinumGames,10
CoreDesignLtd,10
NixxesSoftware,10
FrictionalGames,10
UbisoftUbisoftMontreal,10
DeckNineGames,10
EurocomEntertainmentSoftware,10
GameRepublic,10
CapcomVancouver,10
ACETeam,10
Cyanide,10
EAGames,10
HeavyIronStudios,10
ZombieStudios,10
RocksteadyStudios,9
KCET,9
CrystalDynamicsNixxesSoftware,9
ImageForm,9
TangoGameworks,9
WayForward,9
Hangar13,9
GrasshopperManufacture,9
THQ,9
EurocomEntertainmentSoftwareEurocom,9
Hydravision,9
NaughtyDog,8
SpikeChunsoft,8
VblankEntertainmentInc,8
Atlus,8
CreativeAssembly,8
AvalancheSoftware,8
SupermassiveGames,8
VisceralGames,8
ClimaxGroupClimaxStudios,8
Team17,8
GriptoniteGames,8
DigitalEclipse,7
11bitstudios,7
VigilGames,7
SquareEnix,7
Tecmo,7
HelloGames,7
Crytek,7
RedBarrels,7
SurrealSoftware,7
LuxofluxInc,7
Funcom,7
OverTheMoon,7
DaedalicEntertainment,7
BehaviourInteractive,7
BlooberTeam,7
RockstarSanDiego,6
RockstarLeeds,6
UBlartMontpellier,6
Starbreeze,6
TeamBondi,6
SuckerPunch,6
ArmatureStudio,6
HotheadGames,6
EARedwoodShores,6
HighMoonStudios,6
UbisoftParis,6
AccessGames,6
InXileEntertainment,6
BlackForestGames,6
ReflectionsInteractive,6
SCESantaMonica,5
MojangAB,5
BluepointGames,5
KleiEntertainment,5
IonStorm,5
4JStudiosMojangAB,5
NeversoftEntertainment,5
RespawnEntertainment,5
ThunderLotusGames,5
UbisoftSofia,5
FrozenbyteInc,5
UnitedFrontGames,5
TarsierStudios,5
Sega,5
TheGameKitchen,5
RareLtd,5
TriumphStudios,5
BlueCastleGames,5
EATiburon,5
UndeadLabs,5
Darkworks,5
ArcSystemWorks,5
UbisoftReflections,5
UppercutGamesPtyLtd,5
IronGalaxyStudios,5
PipeworksSoftwareInc,5
CornfoxBros,5
Lienzo,5
LucasArts,5
EdgeofReality,5
UbisoftClimaxStudios,5
EABrightLight,5
EKOSoftware,5
BitsStudios,5
PointofView,5
HighVoltageSoftware,5
NamcoBandaiGames,4
ReadyatDawn,4
FuturLab,4
TomHapp,4
BandaiNamcoGames,4
NinjaTheoryQLOC,4
Vanillaware,4
Housemarque,4
EngineSoftware,4
AsteroidBase,4
ArtPlay,4
RedStormEntertainment,4
RobotEntertainment,4
JustAddWater,4
ArrowheadGameStudios,4
AsoboStudio,4
IntiCreates,4
NightSchoolStudio,4
LinceWorks,4
FlightSchoolStudio,4
AcidWizardStudio,4
Wargamingnet,4
TTFusion,4
PridefulSloth,4
EtrangesLibellules,4
2KCzech,4
KoeiTecmoGames,4
GunfireGames,4
ClimaxGroup,4
FreeRadicalDesign,4
Hinterland,4
TheMolassesFlood,4
WBGamesMontreal,4
BlitzGames,4
CapcomNeoBardsEntertainment,4
SumoDigital,4
TerminalReality,4
LazyBearGames,4
Noinfo,4
NoBrakesGames,4
FrimaStudio,4
GearboxSoftware,4
MagicPockets,4
Frogwares,4
nSpace,4
EdenStudios,4
CreatStudios,4
505Games,4
5LivesStudios,4
TOSE,4
KujuEntertainment,4
7Studios,4
StormfrontStudios,4
RockstarGames,3
GREZZO,3
CapcomRDDivision1,3
SiliconKnights,3
LookingGlassStudios,3
NintendoPlatinumGames,3
InfinityWard,3
RockstarToronto,3
IllusionSoftworks,3
Nicalis,3
BlitWorks,3
InfiniteFall,3
NintendoGREZZO,3
FDGEntertainment,3
GrayMatter,3
4JStudios,3
NextLevelGames,3
SanzaruGames,3
Dennaton,3
DigitalRealityGrasshopperManufacture,3
IntelligentSystems,3
WitchBeam,3
MobiusDigitalLLC,3
CurveStudiossuperflatgames,3
EpicGamesPeopleCanFly,3
UbisoftToronto,3
GiantSquid,3
Gameloft,3
DeadMage,3
BaroqueDecay,3
MachineGames,3
AggroCrab,3
CapyGames,3
Lizardcube,3
Spike,3
Hazelight,3
TheBehemoth,3
ROCKFISHGames,3
MooneyeStudios,3
ComputerArtworks,3
IgnitionEntertainment,3
SkipLtd,3
CamouflajLLC,3
5pb,3
KnowWonder,3
StormindGames,3
PaonCorporation,3
Sperasoft,3
WarhorseStudios,3
TyphoonStudios,3
Relic,3
RedBlueGames,3
RenegadeKid,3
Fourattic,3
Namco,3
SpicyHorse,3
ViciousCycle,3
Soleil,3
DevespressoGames,3
BorealysGames,3
Amuze,3
ACrowdofMonsters,3
TTGamesTTFusion,3
FrontierDevelopments,3
Metronomik,3
Question,3
PanacheDigitalGames,3
BonusXP,3
HighImpactGames,3
SolarSailGames,3
GameFreak,3
GRIN,3
StudioWildcard,3
GunfireGamesTHQNordic,3
K2LLC,3
DarkEnergyDigital,3
SNKPlaymore,3
2KMarin,3
WalesInteractiveLtd,3
OSomeStudio,3
FallenTreeGames,3
BlueTongueEntertainment,3
InvaderStudios,3
Gloomywood,3
CompulsionGames,3
NineDotsStudio,3
NeonStudiosKaiko,3
Sobaka,3
ZootFly,3
Irem,3
DarkStarGames,3
ParanoidProductions,3
BizarreCreations,3
TrionWorlds,3
AcclaimStudiosCheltenham,3
ArgonautGames,3
AWEGames,3
MercurySteamAlchemicProductions,3
BackboneEntertainment,3
tinyBuild,3
Warthog,3
GenePool,3
InevitableEntertainment,3
BohemiaInteractive,3
IllFonicGunMedia,3
SpikeChunsoftCoLtdSpikeChunsoft,3
tigersquid,3
Stage2Studios,3
AirtightGames,3
PropagandaGames,3
SonicTeam,3
SCEELondonStudio,3
PivotalGames,3
DangerClose,3
Kylotonn,3
FatsharkAB,3
SlantSix,3
Blue52,3
SparkUnlimitedcomcept,3
KungFuFactory,3
MadmindStudio,3
DigitalExtremes,3
BehaviorStudios,3
RedTribe,3
HighVoltageSoftwareBackboneEntertainment,3
DMADesign,2
KojimaProductionsMobyDickStudio,2
SupergiantGames,2
TeamCherry,2
PlatinumGamesNexEntertainment,2
GenkiBluepointGames,2
Flagship,2
MediaMolecule,2
SegaAM2,2
PsyonixPanicButton,2
AbstractionGamesDennaton,2
UbisoftMilan,2
VisualConcepts,2
FailbetterGames,2
JoakimSandbergKonjak,2
GoodFeel,2
Psyonix,2
5pbMages,2
OmegaForceKoeiTecmoGames,2
WilliamChyrStudioLLC,2
RocksteadyStudiosWBGamesMontreal,2
THQYukes,2
CapcomMTwo,2
AppaloosaInteractive,2
DrinkBoxStudios,2
TequilaWorks,2
QGames,2
Fabraz,2
GaijinEntertainment,2
A44,2
RecoilGames,2
SkydanceInteractive,2
NordicGamesPublishing,2
MadDocSoftwareRockstarVancouver,2
QuanticDream,2
SteelWoolGamesIncSteelWoolGames,2
MikeBithell,2
FlyingOakGames,2
EldenPixels,2
BizarreCreationsKujuEntertainment,2
Frogmind,2
FoamSword,2
TwistedPixelGames,2
Shinen,2
RunicGames,2
CapcomQLOC,2
UltraUltra,2
Flippfly,2
RainGamesSoedesco,2
TechlandONEMORELEVEL,2
HopFrog,2
CoilworksDoubleEleven,2
SonyOnlineEntertainmentDaybreakGames,2
UbisoftRedStormEntertainment,2
ForgeReply,2
NipponIchiSoftware,2
OwlchemyLabs,2
AmusementVision,2
HeadfirstProductions,2
TheGentlebros,2
LudosityInteractive,2
TripleEhLtd,2
IcePickLodge,2
Exakt,2
SideQuestStudios,2
BenEsposito,2
DTPEntertainmentRonimoGames,2
VanguardGames,2
RatloopAsiaPteLtd,2
tinyBuildDoMyBestGames,2
Mediatonic,2
HumanHeadStudios,2
SmartBombInteractive,2
WideloadGamesInc,2
VooFooStudios,2
CompileHeart,2
roll7,2
Finji,2
KeenGames,2
PulseEntertainment,2
WestwoodStudios,2
CapcomCapcomVancouver,2
InfinitapGames,2
HeadbangClub,2
YoungHorsesInc,2
Parabole,2
Funomena,2
UpstreamArcade,2
SCEE,2
5THCell,2
UbisoftMontpellierStraightRight,2
BlueIsleStudios,2
JustAddWaterSquareOneGames,2
iFun4allCurveDigital,2
SeavenStudioHollowTreeGames,2
PiecesInteractive,2
Lichthund,2
OverkillSoftware,2
HollowPonds,2
TripwireInteractiveBlindsideInteractive,2
SonyBend,2
