name,platform,score,users,cluster,distance_from_centroid
Tony Hawk's Pro Skater 2,PlayStation,98,647,0,2.1737889377611617
Super Mario Galaxy,Nintendo,97,3059,2,2.8276599640316764
Super Mario Galaxy 2,Nintendo,97,2521,2,3.4144618216353413
Halo: Combat Evolved,Xbox,97,2052,0,3.12355718730946
Half-Life 2,PC,96,10773,2,7.708156925716154
Grand Theft Auto V,PC,96,6661,2,2.5003506590182987
The Orange Box,PC,96,1804,0,2.59740000037413
Tekken 3,PlayStation,96,660,0,2.058347540151789
Gran Turismo,PlayStation,96,269,0,1.9667503590321103
Grand Theft Auto Double Pack,Xbox,96,91,0,1.9223725853985718
Baldur's Gate II: Shadows of Amn,PC,95,1433,0,2.1761352052150182
Halo 2,Xbox,95,1656,0,2.658450401190562
The Legend of Zelda: Twilight Princess,Nintendo,95,2060,0,3.0664660352997237
Portal 2,PC,95,7482,2,3.498687798311469
World of Goo,Nintendo,94,378,0,1.8353424971737364
The Elder Scrolls V: Skyrim,PC,94,11301,2,8.371405660438116
Final Fantasy IX,PlayStation,94,1280,0,2.325313829747986
Chrono Cross,PlayStation,94,412,0,1.8670541737843747
Grand Theft Auto: Vice City,PC,94,2435,2,3.1690316502512053
BioShock Infinite,PC,94,8729,2,5.07048640386028
Ninja Gaiden Black,Xbox,94,177,0,1.7955365800503078
The Elder Scrolls IV: Oblivion,PC,94,3069,2,2.376140565413225
Metal Gear Solid,PlayStation,94,1584,0,2.583249184053031
Tom Clancy's Splinter Cell Chaos Theory,Xbox,94,218,0,1.7961507988027028
Burnout 3: Takedown,Xbox,94,182,0,1.7955280389109631
Diablo,PC,94,1161,0,1.8714691478994823
Star Wars: Knights of the Old Republic,Xbox,94,409,0,1.819399845154914
Sid Meier's Civilization IV,PC,94,1070,0,1.7942444385478349
The Witcher 3: Wild Hunt,PC,93,17537,2,16.401634733126784
Super Smash Bros. Brawl,Nintendo,93,2022,0,2.955567627900941
Company of Heroes,PC,93,1336,0,1.9784884196154444
Gran Turismo 2,PlayStation,93,246,0,1.7872850746759976
Tom Clancy's Splinter Cell Pandora Tomorrow,Xbox,93,95,0,1.7396705526293894
Street Fighter Alpha 3,PlayStation,93,88,0,1.7893948841140717
Tony Hawk's Pro Skater 3,Xbox,93,21,0,1.7483844593392486
Half-Life: Alyx,PC,93,2104,0,2.8016998947385
Divinity: Original Sin II,PC,93,1946,0,2.62287633322309
Starcraft II: Wings of Liberty,PC,93,3477,2,1.8501693562534096
Red Dead Redemption 2,PC,93,3546,2,1.7661068529893784
Tom Clancy's Splinter Cell,Xbox,93,142,0,1.7368413892085033
Grand Theft Auto III,PC,93,1254,0,1.900082832791196
The Legend of Zelda: Skyward Sword,Nintendo,93,2401,0,3.3611953050069943
Castlevania: Symphony of the Night,PlayStation,93,664,0,1.8908493081062065
Star Wars: Knights of the Old Republic,PC,93,2007,0,2.6914936660354085
Wipeout XL,PlayStation,93,40,0,1.7946282062748014
Grand Theft Auto: San Andreas,Xbox,93,165,0,1.736227387255111
World of Warcraft,PC,93,2934,2,2.5236360039173413
Grand Theft Auto: San Andreas,PC,93,3074,2,2.3484759892892924
Call of Duty 4: Modern Warfare,PC,92,3197,2,2.1750468828766873
Warcraft III: Reign of Chaos,PC,92,2041,0,2.693629172481465
Rock Band 2,Nintendo,92,50,0,1.7104975043158797
Vagrant Story,PlayStation,92,206,0,1.729540212998394
Team Fortress 2,PC,92,6724,2,2.4921179639838065
Madden NFL 2003,Xbox,92,18,0,1.6915481123432534
Rome: Total War,PC,92,1340,0,1.9320179575391276
SSX 3,Xbox,92,29,0,1.689838199752375
Tony Hawk's Pro Skater,PlayStation,92,110,0,1.7316961360103742
Age of Empires II: The Age of Kings,PC,92,1165,0,1.763083473969775
Final Fantasy VII,PlayStation,92,2118,0,3.038954895551324
Xenoblade Chronicles,Nintendo,92,1337,0,2.2629199896960137
Medal of Honor,PlayStation,92,156,0,1.7295566805089984
PaRappa the Rapper,PlayStation,92,79,0,1.734282676599243
Rayman Origins,Nintendo,92,172,0,1.702123362287395
The Witcher 3: Wild Hunt - Blood and Wine,PC,92,3088,2,2.3119231838412486
World of Warcraft: Wrath of the Lich King,PC,91,1294,0,1.8369401250064896
Metal Gear Solid V: The Phantom Pain,PC,91,2520,2,3.0182438298828984
Crysis,PC,91,2503,2,3.03995129232086
Batman: Arkham Asylum,PC,91,2391,0,3.0728976165112067
Resident Evil,PlayStation,91,526,0,1.7331197598825137
Batman: Arkham City,PC,91,2464,2,3.0897629709272096
Fez,PC,91,1158,0,1.703301107447177
Dark Souls II,PC,91,2703,2,2.7847963409942413
Crash Bandicoot 3: Warped,PlayStation,91,705,0,1.806238605022565
Deus Ex,PC,90,1350,0,1.848088702512251
Half-Life 2: Episode Two,PC,90,2349,0,2.9941537006753185
Sid Meier's Civilization V,PC,90,2736,2,2.731220605819711
Brothers: A Tale of Two Sons,PC,90,1460,0,1.965621256175607
Dota 2,PC,90,11474,2,8.574772360076242
Guild Wars 2,PC,90,3065,2,2.3109920034588245
Grand Theft Auto IV,PC,90,2985,2,2.4130367207497017
Total War: Shogun 2,PC,90,1345,0,1.842827969614307
Empire: Total War,PC,90,3113,2,2.2498170379642324
Final Fantasy VIII,PlayStation,90,1055,0,1.97615003032404
The Witcher 3: Wild Hunt - Hearts of Stone,PC,89,2622,2,2.8683624577805165
Resident Evil 2,PC,89,1807,0,2.320086673374289
The Walking Dead: A Telltale Games Series,PC,89,2900,2,2.5115606224655225
Dark Souls III,PC,89,3141,2,2.2027512336180854
Pillars of Eternity,PC,89,2520,2,2.9993901485761048
The Elder Scrolls III: Morrowind,PC,89,1561,0,2.0376039007105082
Fallout,PC,89,1254,0,1.7024366349550308
Left 4 Dead 2,PC,89,3066,2,2.2987910975291097
Devil May Cry 5,PC,89,1254,0,1.7024366349550308
Mass Effect,PC,89,3425,2,1.8397807027089461
Borderlands 2,PC,89,3176,2,2.1579551754460944
Max Payne,PC,89,1597,0,2.078312853641437
XCOM: Enemy Unknown,PC,89,2486,2,3.043077346899354
Mass Effect 3,PC,89,6764,2,2.5051339310327583
Resident Evil 2,PlayStation,89,822,0,1.777302328849771
Mafia,PC,88,1561,0,2.001423710202346
Sekiro: Shadows Die Twice,PC,88,1620,0,2.069434655152758
LIMBO,PC,88,1800,0,2.2801000215427525
Assassin's Creed: Brotherhood,PC,88,1609,0,2.056711487458007
Warcraft III: The Frozen Throne,PC,88,1544,0,1.9819369386900965
Torchlight II,PC,88,2012,0,2.5330654439029097
XCOM 2,PC,88,1560,0,2.0002760254205083
Hearthstone: Heroes of Warcraft,PC,88,2117,0,2.659864694454302
The Stanley Parable,PC,88,2093,0,2.630805637762082
BioShock 2,PC,88,1688,0,2.148496050317409
Counter-Strike: Source,PC,88,10108,2,6.807600701599714
Sid Meier's Civilization VI,PC,88,1285,0,1.6924805902901137
Battlefield 1,PC,88,2224,0,2.789919634165338
Diablo III,PC,88,9774,2,6.3768147014233385
DOOM Eternal,PC,88,2567,2,2.93260384597517
Counter-Strike,PC,88,7112,2,2.9454636458933874
Ori and the Blind Forest,PC,88,1329,0,1.740524438895296
Diablo II,PC,88,1424,0,1.8459472551661416
Battlefield: Bad Company 2,PC,87,1733,0,2.170668285938299
Half-Life 2: Episode One,PC,87,2613,2,2.869057494139945
Max Payne 3,PC,87,2672,2,2.7929945819955777
Diablo III: Reaper of Souls,PC,87,1644,0,2.0652155505194507
Divinity: Original Sin,PC,87,2218,0,2.7585349171368
World of Warcraft: Warlords of Draenor,PC,87,1335,0,1.7085176211845665
Bastion,PC,86,1535,0,1.9061352424477371
Gone Home,PC,86,2178,0,2.687053477181688
Fallout 2,PC,86,1437,0,1.7909720214787284
The Witcher: Enhanced Edition,PC,86,2551,2,2.9469387610121527
Rise of the Tomb Raider,PC,86,1614,0,1.9999642794649304
Saints Row IV,PC,86,1796,0,2.2188519877420547
Death Stranding,PC,86,3031,2,2.3276687354936216
Titanfall,PC,86,1758,0,2.1728749288255544
Starcraft II: Heart of the Swarm,PC,86,1528,0,1.897861622231287
Crysis 2,PC,86,1888,0,2.3306809564131488
Call of Duty: Modern Warfare 2,PC,86,6957,2,2.7392055486378672
Dead Space,PC,86,1525,0,1.894317907436622
PlayerUnknown's Battlegrounds,PC,86,1688,0,2.0885443825499577
Heroes of the Storm,PC,86,1445,0,1.800316293205998
Path of Exile,PC,86,1856,0,2.29170537458779
Assassin's Creed II,PC,86,2221,0,2.7402996806109217
Assassin's Creed Odyssey,PC,86,1767,0,2.183752213365442
Cities: Skylines,PC,85,1815,0,2.217697424613428
"Warhammer 40,000: Dawn of War II",PC,85,1578,0,1.9293469371867649
Hotline Miami,PC,85,1537,0,1.8800236479936878
Amnesia: The Dark Descent,PC,85,1465,0,1.7939011281092774
South Park: The Stick of Truth,PC,85,2089,0,2.55612962250521
Dark Souls: Prepare to Die Edition,PC,85,2335,0,2.863093967525469
DmC: Devil May Cry,PC,85,2070,0,2.5325283288095997
Far Cry 2,PC,85,1645,0,2.0103404362746864
"Papers, Please",PC,85,1394,0,1.7096705063009385
DOOM,PC,85,3039,2,2.3174871214817716
