name,platform,r-date,score,user score,developer,genre,players,critics,users,success
Steel Battalion: Line of Contact,Xbox,"February 27, 2004",70,8.0,Capcom,"Simulation,Sci-Fi,Mech",1-10 ,19,8,0
From Russia With Love,GameCube,"November 15, 2005",70,8.7,ElectronicArts,"Action Adventure,Modern",1-4 ,20,15,0
Pitfall: The Mayan Adventure,GameBoyAdvance,"June 10, 2001",58,8.8,PipeDreamInteractive,"Action,Platformer,2D",1 Player,10,4,0
Baldur's Gate: Siege of Dragonspear,PC,"March 31, 2016",77,3.7,OverhaulGames,"Role-Playing,Western-Style",No info,13,554,0
Gradius ReBirth,Wii,"March 9, 2009",69,7.9,M2,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Horizontal",No Online Multiplayer,8,7,0
Legacy of Kain: Defiance,PC,"December 17, 2003",70,8.7,NixxesSoftware,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,11,88,0
Jon Shafer's At the Gates,PC,"January 23, 2019",63,5.6,ConiferGames,"Strategy,Turn-Based,4X",No info,25,14,0
The Legend of Heroes: Trails of Cold Steel,PlayStation3,"December 22, 2015",86,8.7,Falcom,"Role-Playing,Japanese-Style",No Online Multiplayer,12,164,0
FIFA Soccer 2005,Xbox,"October 12, 2004",81,8.4,EACanada,"Sports,Traditional,Soccer,Sim",1-4 ,34,25,0
Warhammer: Battle for Atluma,PSP,"November 14, 2006",55,7.4,SabertoothGames,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle",1-2 ,8,9,0
