name,platform,r-date,score,user score,developer,genre,players,critics,users,trending_game,genre_count,success
Raiders of the Broken Planet,XboxOne,"September 22, 2017",67,5.8,MercurySteam,"Strategy,Real-Time,MOBA",Up to 5 ,9,14,0,3,0
Fight Night Round 3,PlayStation2,"February 20, 2006",84,8.2,EAChicago,"Sports,Traditional,Boxing",2  Online,32,48,0,6,0
The Sky Crawlers: Innocent Aces,Wii,"January 12, 2010",74,8.2,AccessGames,"Action,Simulation,Flight,Flight,Modern Jet,Combat",No info,42,15,1,5,0
Battle Brothers,PC,"March 24, 2017",80,7.9,OverhypeStudios,"Strategy,Turn-Based,Tactics",No Online Multiplayer,11,107,0,3,0
Godzilla Unleashed,PlayStation2,"November 20, 2007",38,6.3,"PipeworksSoftware,Inc.","Action Adventure,Sci-Fi",1-4 ,22,6,1,2,0
Arcade Spirits,PC,"February 12, 2019",78,5.4,FictionFactoryGames,"Adventure,Visual Novel",No Online Multiplayer,7,7,0,2,0
Shiness: The Lightning Kingdom,PlayStation4,"April 18, 2017",67,6.8,Enigami,"Role-Playing,Action RPG",No info,32,29,0,2,0
Cave Story 3D,3DS,"November 8, 2011",82,8.1,Nicalis,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,29,70,0,3,0
Garshasp: The Monster Slayer,PC,"May 9, 2011",49,5.9,DeadMageStudio,"Action Adventure,Fantasy,General",1 Player,19,59,1,3,0
ESPN NBA Basketball,Xbox,"October 22, 2003",87,7.6,VisualConcepts,"Sports,Traditional,Basketball,Sim",1-8 ,18,27,0,4,0
